Question,Topic
"discuss the significance of the spectral properties of positive semidefinite matrices in optimization. how can eigenvalues and eigenvectors be used to analyze the stability and optimality of solutions to optimization problems involving positive semidefinite matrices? given \( a = \begin{pmatrix} 6 & 2 \\ 2 & 6 \end{pmatrix} \), find the eigenvalues and eigenvectors, and interpret them in the context of optimization.",positive definite matrices
"apply the concept of positive semidefinite matrices to the analysis of covariance matrices in statistics. how does the positive semidefiniteness of a covariance matrix influence its interpretation and use in multivariate analysis? given the covariance matrix \( a = \begin{pmatrix} 1 & 0.8 \\ 0.8 & 1 \end{pmatrix} \), verify its positive semidefiniteness and discuss its implications for multivariate normal distributions.",positive definite matrices
"explain how positive semidefinite matrices are used in signal processing, particularly in the context of filtering and estimation problems. provide an example where the matrix \( a = \begin{pmatrix} 1 & 0.5 \\ 0.5 & 1 \end{pmatrix} \) is used as a covariance matrix in a kalman filter and discuss how the positive semidefiniteness of \( a \) ensures the stability of the filter.",positive definite matrices
"investigate the relationship between positive semidefinite matrices and convex optimization. how do positive semidefinite matrices play a role in formulating convex optimization problems, and what properties do these matrices provide for solution methods such as gradient descent? given \( a = \begin{pmatrix} 3 & 1 \\ 1 & 3 \end{pmatrix} \), solve the convex optimization problem \( \min_x \, x^t a x \), subject to \( x_1 + x_2 = 1 \).",positive definite matrices
"derive the conditions under which a symmetric matrix is positive semidefinite. how can you use the cholesky factorization and eigenvalue decomposition to test if a symmetric matrix is positive semidefinite? given \( a = \begin{pmatrix} 4 & 1 \\ 1 & 4 \end{pmatrix} \), check if \( a \) is positive semidefinite by performing both cholesky factorization and eigenvalue decomposition.",positive definite matrices
"discuss the applications of positive semidefinite matrices in machine learning, particularly in the context of support vector machines (svms). how do positive semidefinite kernels lead to optimal hyperplane classification? consider the kernel matrix \( k = \begin{pmatrix} 1 & 0.5 \\ 0.5 & 1 \end{pmatrix} \), and demonstrate how its positive semidefiniteness ensures the feasibility of svm optimization.",positive definite matrices
"given the matrix \( a = \begin{pmatrix} 2 & 1 & 0 \\ 1 & 2 & 1 \\ 0 & 1 & 2 \end{pmatrix} \), determine whether it is positive semidefinite. if so, explain why this matrix is useful in a machine learning application such as kernel methods for regression or classification.",positive definite matrices
"solve an optimization problem involving positive semidefinite matrices using a lagrange multiplier approach. given the matrix \( a = \begin{pmatrix} 1 & 0 \\ 0 & 1 \end{pmatrix} \), solve the optimization problem \( \max \text{tr}(a x) \), subject to \( x \succeq 0 \) and \( \text{tr}(x) = 1 \).",positive definite matrices
"show that if a matrix is positive semidefinite, its inverse is also positive semidefinite, provided the matrix is invertible. given \( a = \begin{pmatrix} 2 & 1 \\ 1 & 2 \end{pmatrix} \), find \( a^{-1} \) and verify that it is positive semidefinite.",positive definite matrices
"construct a subset of the $x$-$y$ plane $\mathbb{r}^2$ that is
    \begin{enumerate}",vector spaces
"closed under vector addition and subtraction, but not scalar multiplication.",vector spaces
closed under scalar multiplication but not under vector addition.,vector spaces
"which of the following subsets of $\mathbb{r}^3$ are actually subspaces?
    \begin{enumerate}",vector spaces
"the plane of vectors $(b_1, b_2, b_3)$ with the first component $b_1 = 0$.",vector spaces
the plane of vectors $\mathbf{b}$ with $b_1 = 1$.,vector spaces
"the vectors $\mathbf{b}$ with $b_2 b_3 = 0$ (this is the union of two subspaces, the plane $b_2 = 0$ and the plane $b_3 = 0$).",vector spaces
"all combinations of two given vectors $(1, 1, 0)$ and $(2, 0, 1)$.",vector spaces
"the plane of vectors $(b_1, b_2, b_3)$ that satisfy $b_3 - b_2 + 3b_1 = 0$.",vector spaces
"describe the column space and the nullspace of the matrices
    \[
    a = \begin{pmatrix}
        1 & -1 \\
        0 & 0
    \end{pmatrix}, \quad
    b = \begin{pmatrix}
        0 & 0 & 3 \\
        1 & 2 & 3
    \end{pmatrix}, \quad
    c = \begin{pmatrix}
        0 & 0 & 0 \\
        0 & 0 & 0
    \end{pmatrix}.
    \]",vector spaces
what is the smallest subspace of $3 \times 3$ matrices that contains all symmetric matrices and all lower triangular matrices? what is the largest subspace that is contained in both of those subspaces?,vector spaces
"addition and scalar multiplication are required to satisfy these eight rules:
    \begin{enumerate}",vector spaces
$x + y = y + x$.,vector spaces
$x + (y + z) = (x + y) + z$.,vector spaces
"there is a unique ""zero vector"" such that $x + 0 = x$ for all $x$.",vector spaces
for each $x$ there is a unique vector $-x$ such that $x + (-x) = 0$.,vector spaces
$1x = x$.,vector spaces
$(c_1 c_2)x = c_1 (c_2 x)$.,vector spaces
$c(x + y) = cx + cy$.,vector spaces
$(c_1 + c_2)x = c_1 x + c_2 x$.,vector spaces
"suppose addition in $\mathbb{r}^2$ adds an extra 1 to each component, so that $(3,1) + (5,0)$ equals $(9,2)$ instead of $(8,1)$. with scalar multiplication unchanged, which rules are broken?",vector spaces
"show that the set of all positive real numbers, with $x+y$ and $cx$ redefined to equal the usual $xy$ and $x^c$, is a vector space. what is the ""zero vector""?",vector spaces
"suppose $(x_1, x_2) + (y_1, y_2)$ is defined to be $(x_1 + y_2, x_2 + y_1)$. with the usual $cx = (cx_1, cx_2)$, which of the eight conditions are not satisfied?",vector spaces
let $p$ be the plane in $\mathbb{r}^3$ with equation $x + 2y + z = 6$. what is the equation of the plane $p_0$ through the origin parallel to $p$? are $p$ and $p_0$ subspaces of $\mathbb{r}^3$?,vector spaces
"which of the following are subspaces of $\mathbb{r}^{\infty}$?
    \begin{enumerate}",vector spaces
"all sequences like $(1,0,1,0,...)$ that include infinitely many zeros.",vector spaces
"all sequences $(x_1, x_2, ...)$ with $x_j = 0$ from some point onward.",vector spaces
all decreasing sequences: $x_{j+1} \leq x_j$ for each $j$.,vector spaces
all convergent sequences: the $x_j$ have a limit as $j \to \infty$.,vector spaces
all arithmetic progressions: $x_{j+1} - x_j$ is the same for all $j$.,vector spaces
"all geometric progressions $(x_1, kx_1, k^2x_1, ...)$ allowing all $k$ and $x_1$.",vector spaces
"which of the following descriptions are correct? the solutions $x$ of
    \[
    a x = \begin{pmatrix} 1 & 1 & 1 \\ 1 & 0 & 2 \end{pmatrix} \begin{pmatrix} x_1 \\ x_2 \\ x_3 \end{pmatrix} = \begin{pmatrix} 0 \\ 0 \end{pmatrix}
    \]
    form
    \begin{enumerate}",vector spaces
a plane.,vector spaces
a line.,vector spaces
a point.,vector spaces
a subspace.,vector spaces
the nullspace of $a$.,vector spaces
the column space of $a$.,vector spaces
show that the set of nonsingular $2 \times 2$ matrices is not a vector space. show also that the set of singular $2 \times 2$ matrices is not a vector space.,vector spaces
"the matrix $a = \begin{pmatrix} 2 & -2 \\ 2 & -2 \end{pmatrix}$ is a ""vector"" in the space $m$ of all $2 \times 2$ matrices. write the zero vector in this space, the vector $\frac{1}{2} a$, and the vector $-a$. what matrices are in the smallest subspace containing $a$?",vector spaces
\begin{enumerate},vector spaces
describe a subspace of $m$ that contains $a = \begin{bmatrix} 1 & 0 \\ 0 & 0 \end{bmatrix}$ but not $b = \begin{bmatrix} 0 & 0 \\ 0 & -1 \end{bmatrix}$.,vector spaces
"if a subspace of $m$ contains $a$ and $b$, must it contain $i$?",vector spaces
describe a subspace of $m$ that contains no nonzero diagonal matrices.,vector spaces
the functions $f(x) = x^2$ and $g(x) = 5x$ are ``vectors'' in the vector space $f$ of all real functions. the combination $3 f(x)-4g(x)$ is the function $h(x) =$. which rule is broken if multiplying $f(x)$ by $c$ gives the function $f(cx)$?,vector spaces
"if the sum of the ``vectors'' $f(x)$ and $g(x)$ in $f$ is defined to be $f(g(x))$, then the ``zero vector'' is $g(x) = x$. keep the usual scalar multiplication $c f(x)$, and find two rules that are broken.",vector spaces
"describe the smallest subspace of the $2 \times 2$ matrix space $m$ that contains
    \begin{enumerate}",vector spaces
$\begin{bmatrix} 1 & 0 \\ 0 & 0 \end{bmatrix}$ and $\begin{bmatrix} 0 & 1 \\ 0 & 0 \end{bmatrix}$.,vector spaces
$\begin{bmatrix} 1 & 0 \\ 0 & 0 \end{bmatrix}$ and $\begin{bmatrix} 1 & 0 \\ 0 & 1 \end{bmatrix}$.,vector spaces
$\begin{bmatrix} 1 & 1 \\ 0 & 0 \end{bmatrix}$.,vector spaces
"$\begin{bmatrix} 1 & 1 \\ 0 & 0 \end{bmatrix}$, $\begin{bmatrix} 1 & 0 \\ 0 & 1 \end{bmatrix}$, $\begin{bmatrix} 0 & 1 \\ 0 & 1 \end{bmatrix}$.",vector spaces
"let $p$ be the plane in $\mathbb{r}^3$ with equation $x + y - 2z = 4$. the origin $(0,0,0)$ is not in $p$! find two vectors in $p$ and check that their sum is not in $p$.",vector spaces
"$p_0$ is the plane through $(0,0,0)$ parallel to the plane $p$ in problem 15. what is the equation for $p_0$? find two vectors in $p_0$ and check that their sum is in $p_0$.",vector spaces
"the four types of subspaces of $\mathbb{r}^3$ are planes, lines, $\mathbb{r}^3$ itself, or $z$ containing only $(0,0,0)$.
    \begin{enumerate}",vector spaces
describe the three types of subspaces of $\mathbb{r}^2$.,vector spaces
describe the five types of subspaces of $\mathbb{r}^4$.,vector spaces
"the intersection of two planes through $(0,0,0)$ is probably a \underline{ } but it could be a \underline{ }. it can’t be the zero vector $z$!",vector spaces
"the intersection of a plane through $(0,0,0)$ with a line through $(0,0,0)$ is probably a \underline{ } but it could be a \underline{ }.",vector spaces
"if $s$ and $t$ are subspaces of $\mathbb{r}^5$, their intersection $s \cap t$ (vectors in both subspaces) is a subspace of $\mathbb{r}^5$. check the requirements on $x+y$ and $cx$.",vector spaces
"suppose $p$ is a plane through $(0,0,0)$ and $l$ is a line through $(0,0,0)$. the smallest vector space containing both $p$ and $l$ is either \underline{ } or \underline{ }.",vector spaces
"true or false for $m =$ all $3 \times 3$ matrices (check addition using an example)?
    \begin{enumerate}",vector spaces
the skew-symmetric matrices in $m$ (with $a^t = -a$) form a subspace.,vector spaces
the unsymmetric matrices in $m$ (with $a^t \neq a$) form a subspace.,vector spaces
"the matrices that have $(1,1,1)$ in their nullspace form a subspace.",vector spaces
"describe the column spaces (lines or planes) of these particular matrices:
    \begin{align*}
        a &= \begin{bmatrix} 1 & 2 \\ 0 & 0 \\ 0 & 0 \end{bmatrix}, \quad 
        b = \begin{bmatrix} 1 & 0 \\ 0 & 2 \\ 0 & 0 \end{bmatrix}, \quad 
        c = \begin{bmatrix} 1 & 0 \\ 2 & 0 \\ 0 & 0 \end{bmatrix}.
    \end{align*}",vector spaces
"for which right-hand sides (find a condition on $b_1, b_2, b_3$) are these systems solvable?
    \begin{enumerate}",vector spaces
$\begin{bmatrix} 1 & 4 & 2 \\ 2 & 8 & 4 \\ -1 & -4 & -2 \end{bmatrix} \begin{bmatrix} x_1 \\ x_2 \\ x_3 \end{bmatrix} = \begin{bmatrix} b_1 \\ b_2 \\ b_3 \end{bmatrix}.$,vector spaces
$\begin{bmatrix} 1 & 4 \\ 2 & 9 \\ -1 & -4 \end{bmatrix} \begin{bmatrix} x_1 \\ x_2 \end{bmatrix} = \begin{bmatrix} b_1 \\ b_2 \\ b_3 \end{bmatrix}.$,vector spaces
"adding row 1 of $a$ to row 2 produces $b$. adding column 1 to column 2 produces $c$.
    a combination of the columns of one matrix is also a combination of the columns of another.
    which two matrices have the same column space?
    \[
    a = \begin{bmatrix} 1 & 2 \\ 2 & 4 \end{bmatrix}, \quad
    b = \begin{bmatrix} 1 & 2 \\ 3 & 6 \end{bmatrix}, \quad
    c = \begin{bmatrix} 1 & 3 \\ 2 & 6 \end{bmatrix}.
    \]",vector spaces
"for which vectors $(b_1, b_2, b_3)$ do these systems have a solution?
    \begin{enumerate}",vector spaces
"\[
        \begin{bmatrix} 1 & 1 & 1 \\ 0 & 1 & 1 \\ 0 & 0 & 1 \end{bmatrix}
        \begin{bmatrix} x_1 \\ x_2 \\ x_3 \end{bmatrix} =
        \begin{bmatrix} b_1 \\ b_2 \\ b_3 \end{bmatrix}.
        \]",vector spaces
"\[
        \begin{bmatrix} 1 & 1 & 1 \\ 0 & 1 & 1 \\ 0 & 0 & 0 \end{bmatrix}
        \begin{bmatrix} x_1 \\ x_2 \\ x_3 \end{bmatrix} =
        \begin{bmatrix} b_1 \\ b_2 \\ b_3 \end{bmatrix}.
        \]",vector spaces
"(recommended) if we add an extra column $b$ to a matrix $a$, then the column space
    gets larger unless . give an example in which the column space gets larger and
    an example in which it doesn’t. why is $ax = b$ solvable exactly when the column
    space doesn’t get larger by including $b$?",vector spaces
"describe the smallest subspace of the $2 \times 2$ matrix space $m$ that contains:
    \begin{enumerate}",vector spaces
let $p$ be the plane in $\mathbb{r}^3$ given by $x + y - 2z = 4$. find two vectors in $p$ and verify their sum is not in $p$.,vector spaces
"find the equation of $p_0$, the plane through $(0,0,0)$ parallel to $p$. find two vectors in $p_0$ and check that their sum is in $p_0$.",vector spaces
"describe the types of subspaces:
    \begin{enumerate}",vector spaces
three types of subspaces in $\mathbb{r}^2$.,vector spaces
five types of subspaces in $\mathbb{r}^4$.,vector spaces
"describe the column spaces of these matrices:
    \begin{align*}
        a &= \begin{bmatrix} 1 & 2 \\ 0 & 0 \\ 0 & 0 \end{bmatrix}, \quad
        b = \begin{bmatrix} 1 & 0 \\ 0 & 2 \\ 0 & 0 \end{bmatrix}, \quad
        c = \begin{bmatrix} 1 & 0 \\ 2 & 0 \\ 0 & 0 \end{bmatrix}.
    \end{align*}",vector spaces
"for which right-hand sides $(b_1, b_2, b_3)$ are these systems solvable?
    \begin{align*}
        \begin{bmatrix} 1 & 4 & 2 \\ 2 & 8 & 4 \\ -1 & -4 & -2 \end{bmatrix} \begin{bmatrix} x_1 \\ x_2 \\ x_3 \end{bmatrix} &= \begin{bmatrix} b_1 \\ b_2 \\ b_3 \end{bmatrix},
    \end{align*}",vector spaces
provide an example where the column spaces of $a$ and $ab$ are not equal.,vector spaces
"if $a$ is an invertible $8 \times 8$ matrix, explain why its column space is $\mathbb{r}^8$.",vector spaces
"true or false (provide counterexamples if false):
    \begin{enumerate}",vector spaces
the vectors $b$ not in $c(a)$ form a subspace.,vector spaces
"if $c(a)$ contains only the zero vector, then $a$ is the zero matrix.",vector spaces
the column space of $2a$ equals the column space of $a$.,vector spaces
the column space of $a-i$ equals the column space of $a$.,vector spaces
"construct a $3 \times 3$ matrix whose column space contains $(1,1,0)$ and $(1,0,1)$ but not $(1,1,1)$. construct another matrix whose column space is only a line.",vector spaces
"if the $9 \times 12$ system $ax = b$ is solvable for every $b$, what is $c(a)$?",vector spaces
why isn’t $\mathbb{r}^2$ a subspace of $\mathbb{r}^3$?,vector spaces
"construct a system with more unknowns than equations, but no solution. change the right-hand side to zero and find all solutions $x_n$.",vector spaces
"reduce $a$ and $b$ to echelon form, to find their ranks. which variables are free?
    \[
    a = \begin{bmatrix}
        1 & 2 & 0 & 1 \\
        0 & 1 & 1 & 0 \\
        1 & 2 & 0 & 1
    \end{bmatrix}, \quad
    b = \begin{bmatrix}
        1 & 2 & 3 \\
        4 & 5 & 6 \\
        7 & 8 & 9
    \end{bmatrix}
    \]
    find the special solutions to $ax = 0$ and $bx = 0$. find all solutions.",vector spaces
"find the echelon form $u$, the free variables, and the special solutions:
    \[
    a = \begin{bmatrix} 0 & 1 & 0 & 3 \\ 0 & 2 & 0 & 6 \end{bmatrix}, \quad
    b = \begin{bmatrix} b_1 \\ b_2 \end{bmatrix}.
    \]
    the system $ax = b$ is consistent (has a solution) when $b$ satisfies $b_2 = \; ?$ find the complete solution.
find two vectors in the nullspace of a, and the complete solution to ax = b.
9. (a) find the special solutions to ux = 0. reduce u to r and repeat:
ux =



1 2 3 4
0 0 1 2
0 0 0 0








x1
x2
x3
x4





=



0
0
0


.
(b) if the right-hand side is changed from (0,0,0) to (a,b,0), what are all solutions?",vector spaces
"reduce $a$ and $b$ to echelon form, to find their ranks. which variables are free?
    \[
    a = \begin{bmatrix}
        1 & 2 & 0 & 1 \\
        0 & 1 & 1 & 0 \\
        1 & 2 & 0 & 1
    \end{bmatrix}, \quad
    b = \begin{bmatrix}
        1 & 2 & 3 \\
        4 & 5 & 6 \\
        7 & 8 & 9
    \end{bmatrix}.
    \]
    find the special solutions to $ax = 0$ and $bx = 0$. find all solutions.",vector spaces
"find the echelon form $u$, the free variables, and the special solutions:
    \[
    a = \begin{bmatrix} 0 & 1 & 0 & 3 \\ 0 & 2 & 0 & 6 \end{bmatrix}, \quad
    b = \begin{bmatrix} b_1 \\ b_2 \end{bmatrix}.
    \]
    $ax = b$ is consistent (has a solution) when $b$ satisfies $b_2 = \ldots$. find the complete solution in the same form as equation (4).",vector spaces
"carry out the same steps as in the previous problem to find the complete solution of $mx = b$:
    \[
    m = \begin{bmatrix} 0 & 0 \\ 1 & 2 \\ 0 & 0 \\ 3 & 6 \end{bmatrix}, \quad
    b = \begin{bmatrix} b_1 \\ b_2 \\ b_3 \\ b_4 \end{bmatrix}.
    \]",vector spaces
"write the complete solutions $x = x_p + x_n$ to these systems, as in equation (4):
    \[
    \begin{bmatrix} 1 & 2 & 2 \\ 2 & 4 & 5 \end{bmatrix}
    \begin{bmatrix} u \\ v \\ w \end{bmatrix} =
    \begin{bmatrix} 1 \\ 4 \end{bmatrix},
    \]
    \[
    \begin{bmatrix} 1 & 2 & 2 \\ 2 & 4 & 4 \end{bmatrix}
    \begin{bmatrix} u \\ v \\ w \end{bmatrix} =
    \begin{bmatrix} 1 \\ 4 \end{bmatrix}.
    \]",vector spaces
"describe the set of attainable right-hand sides $b$ (in the column space) for
    \[
    \begin{bmatrix} 1 & 0 \\ 0 & 1 \\ 2 & 3 \end{bmatrix}
    \begin{bmatrix} u \\ v \end{bmatrix} =
    \begin{bmatrix} b_1 \\ b_2 \\ b_3 \end{bmatrix},
    \]
    by finding the constraints on $b$ that turn the third equation into $0 = 0$ (after elimination). what is the rank, and a particular solution?",vector spaces
"find the value of $c$ that makes it possible to solve $ax = b$, and solve it:
    \begin{align*}
    u + v + 2w &= 2, \\
    2u + 3v - w &= 5, \\
    3u + 4v + w &= c.
    \end{align*}",vector spaces
"under what conditions on $b_1$ and $b_2$ (if any) does $ax = b$ have a solution?
    \[
    a = \begin{bmatrix} 1 & 2 & 0 & 3 \\ 2 & 4 & 0 & 7 \end{bmatrix}, \quad
    b = \begin{bmatrix} b_1 \\ b_2 \end{bmatrix}.
    \]",vector spaces
"find a $2 \times 3$ system $ax = b$ whose complete solution is
    \begin{equation*}
        x = \begin{bmatrix} 1 \\ 2 \\ 0 \end{bmatrix} + w \begin{bmatrix} 1 \\ 3 \\ 1 \end{bmatrix}.
    \end{equation*}
    find a $3 \times 3$ system with these solutions exactly when $b_1 + b_2 = b_3$.",vector spaces
"write a $2 \times 2$ system $ax = b$ with many solutions $x_n$ but no solution $x_p$. (therefore, the system has no solution.) which $b$'s allow an $x_p$?",vector spaces
"which of these rules give a correct definition of the rank of $a$?
    \begin{enumerate}",vector spaces
the number of nonzero rows in $r$.,vector spaces
the number of columns minus the total number of rows.,vector spaces
the number of columns minus the number of free columns.,vector spaces
the number of 1s in $r$.,vector spaces
"find the reduced row echelon forms $r$ and the rank of these matrices:
    \begin{enumerate}",vector spaces
the $3 \times 4$ matrix of all 1s.,vector spaces
the $4 \times 4$ matrix with $a_{ij} = (-1)^{ij}$.,vector spaces
the $3 \times 4$ matrix with $a_{ij} = (-1)^j$.,vector spaces
"find $r$ for each of these (block) matrices, and the special solutions:
    \begin{equation*}
        a = \begin{bmatrix} 0 & 0 & 0 \\ 0 & 0 & 3 \\ 2 & 4 & 6 \end{bmatrix}, \quad
        b = \begin{bmatrix} a & a \end{bmatrix}, \quad
        c = \begin{bmatrix} a & a \\ a & 0 \end{bmatrix}.
    \end{equation*}",vector spaces
"if the $r$ pivot variables come first, the reduced $r$ must look like
    \begin{equation*}
        r = \begin{bmatrix} i & f \\ 0 & 0 \end{bmatrix},
    \end{equation*}
    where $i$ is $r \times r$ and $f$ is $r \times (n-r)$. what is the nullspace matrix $n$ containing the special solutions?",vector spaces
"suppose all $r$ pivot variables come last. describe the four blocks in the $m \times n$ reduced echelon form (the block $b$ should be $r \times r$):
    \begin{equation*}
        r = \begin{bmatrix} a & b \\ c & d \end{bmatrix}.
    \end{equation*}
    what is the nullspace matrix $n$ of special solutions? what is its shape?",vector spaces
"(silly problem) describe all $2 \times 3$ matrices $a_1$ and $a_2$ with row echelon forms $r_1$ and $r_2$, such that $r_1 + r_2$ is the row echelon form of $a_1 + a_2$. is it true that $r_1 = a_1$ and $r_2 = a_2$ in this case?",vector spaces
"if $a$ has $r$ pivot columns, then $a^t$ has $r$ pivot columns. give a $3 \times 3$ example for which the column numbers are different for $a$ and $a^t$.",vector spaces
"reduce $a$ and $b$ to echelon form, to find their ranks. which variables are free?
    \[
    a = \begin{bmatrix} 1 & 2 & 0 & 1 \\ 0 & 1 & 1 & 0 \\ 1 & 2 & 0 & 1 \end{bmatrix}, \quad
    b = \begin{bmatrix} 1 & 2 & 3 \\ 4 & 5 & 6 \\ 7 & 8 & 9 \end{bmatrix}.
    \]
    find the special solutions to $ax = 0$ and $bx = 0$. find all solutions.",vector spaces
"find the echelon form $u$, the free variables, and the special solutions:
    \[
    a = \begin{bmatrix} 0 & 1 & 0 & 3 \\ 0 & 2 & 0 & 6 \end{bmatrix}, \quad b = \begin{bmatrix} b_1 \\ b_2 \end{bmatrix}.
    \]",vector spaces
$ax = b$ is consistent (has a solution) when $b$ satisfies $b_2 = $. find the complete solution in the same form as equation (4).,vector spaces
"carry out the same steps as in the previous problem to find the complete solution of $mx = b$:
    \[
    m = \begin{bmatrix} 0 & 0 \\ 1 & 2 \\ 0 & 0 \\ 3 & 6 \end{bmatrix}, \quad b = \begin{bmatrix} b_1 \\ b_2 \\ b_3 \\ b_4 \end{bmatrix}.
    \]",vector spaces
"find a $2 \times 3$ system $ax = b$ whose complete solution is:
    \[
    x = \begin{bmatrix} 1 \\ 2 \\ 0 \end{bmatrix} + w \begin{bmatrix} 1 \\ 3 \\ 1 \end{bmatrix}.
    \]",vector spaces
find a $3 \times 3$ system with these solutions exactly when $b_1 + b_2 = b_3$.,vector spaces
write a $2 \times 2$ system $ax = b$ with many solutions $x_n$ but no solution $x_p$. which $b$’s allow an $x_p$?,vector spaces
"find the ranks of $ab$ and $am$ (rank 1 matrix times rank 1 matrix):
    \[
    a = \begin{bmatrix} 1 & 2 \\ 2 & 4 \end{bmatrix}, \quad
    b = \begin{bmatrix} 2 & 1 & 4 \\ 3 & 1.5 & 6 \end{bmatrix}, \quad
    m = \begin{bmatrix} 1 & b \\ c & bc \end{bmatrix}.
    \]",vector spaces
suppose $a$ and $b$ have the same reduced-row echelon form $r$. explain how to change $a$ to $b$ by elementary row operations.,vector spaces
"every $m \times n$ matrix of rank $r$ reduces to $(m \times r)$ times $(r \times n)$:
    \[
    a = (\text{pivot columns of } a)(\text{first } r \text{ rows of } r) = (\text{col})(\text{row}).
    \]",vector spaces
"write the $3 \times 4$ matrix $a$ as the product of a $3 \times 2$ matrix from the pivot columns and a $2 \times 4$ matrix from $r$:
    \[
    a = \begin{bmatrix} 1 & 3 & 3 & 2 \\ 2 & 6 & 9 & 7 \\ -1 & -3 & 3 & 4 \end{bmatrix}.
    \]",vector spaces
suppose $a$ is an $m \times n$ matrix of rank $r$. its reduced echelon form is $r$. describe exactly the reduced row echelon form of $r^t$ (not $a^t$).,vector spaces
"execute the six steps following equation (6) to find the column space and null space of $a$ and the solution to $ax = b$:
    \[
    a = \begin{bmatrix} 2 & 4 & 6 & 4 \\ 2 & 5 & 7 & 6 \\ 2 & 3 & 5 & 2 \end{bmatrix}, \quad b = \begin{bmatrix} b_1 \\ b_2 \\ b_3 \end{bmatrix} = \begin{bmatrix} 4 \\ 3 \\ 5 \end{bmatrix}.
    \]",vector spaces
"for every $c$, find $r$ and the special solutions to $ax = 0$:
    \[
    a = \begin{bmatrix} 1 & 1 & 2 & 2 \\ 2 & 2 & 4 & 4 \\ 1 & c & 2 & 2 \end{bmatrix}, \quad a = \begin{bmatrix} 1-c & 2 \\ 0 & 2-c \end{bmatrix}.
    \]",vector spaces
"what is the null space matrix $n$ (of special solutions) for $a$, $b$, $c$?
    \[
    a = \begin{bmatrix} i & i \end{bmatrix}, \quad b = \begin{bmatrix} i & i \\ 0 & 0 \end{bmatrix}, \quad c = \begin{bmatrix} i & i & i \end{bmatrix}.
    \]",vector spaces
"find the complete solutions of:
    \[
    x + 3y + 3z = 1, \quad 2x + 6y + 9z = 5, \quad -x - 3y + 3z = 5.
    \]
    \[
    \begin{bmatrix} 1 & 3 & 1 & 2 \\ 2 & 6 & 4 & 8 \\ 0 & 0 & 2 & 4 \end{bmatrix} \begin{bmatrix} x \\ y \\ z \\ t \end{bmatrix} = \begin{bmatrix} 1 \\ 3 \\ 1 \end{bmatrix}.
    \]",vector spaces
"under what condition on $b_1, b_2, b_3$ is the following system solvable? include $b$ as a fourth column in $[a | b]$. find all solutions when that condition holds:
    \[
    \begin{aligned}
    x + 2y - 2z &= b_1 \\
    2x + 5y - 4z &= b_2 \\
    4x + 9y - 8z &= b_3.
    \end{aligned}
    \]",vector spaces
"what conditions on $b_1, b_2, b_3, b_4$ make each system solvable? solve for $x$:
    \[
    \begin{bmatrix} 1 & 2 \\ 2 & 4 \\ 2 & 5 \\ 3 & 9 \end{bmatrix} \begin{bmatrix} x_1 \\ x_2 \end{bmatrix} = \begin{bmatrix} b_1 \\ b_2 \\ b_3 \\ b_4 \end{bmatrix}, \quad \begin{bmatrix} 1 & 2 & 3 \\ 2 & 4 & 6 \\ 2 & 5 & 7 \\ 3 & 9 & 12 \end{bmatrix} \begin{bmatrix} x_1 \\ x_2 \\ x_3 \end{bmatrix} = \begin{bmatrix} b_1 \\ b_2 \\ b_3 \\ b_4 \end{bmatrix}.
    \]",vector spaces
"find the special solutions to $rx = 0$ and $r^t y = 0$ for:
    \begin{align*}
        r &= \begin{bmatrix} 1 & 0 & 2 & 3 \\ 0 & 1 & 4 & 5 \\ 0 & 0 & 0 & 0 \end{bmatrix},
        &r &= \begin{bmatrix} 0 & 1 & 2 \\ 0 & 0 & 0 \\ 0 & 0 & 0 \end{bmatrix}.
    \end{align*}",vector spaces
"find an $r \times r$ invertible submatrix $s$ from the pivot rows and columns of each $a$:
    \begin{align*}
        a &= \begin{bmatrix} 1 & 2 & 3 \\ 1 & 2 & 4 \end{bmatrix},
        &a &= \begin{bmatrix} 1 & 2 & 3 \\ 2 & 4 & 6 \end{bmatrix},
        &a &= \begin{bmatrix} 0 & 1 & 0 \\ 0 & 0 & 0 \\ 0 & 0 & 1 \end{bmatrix}.
    \end{align*}",vector spaces
explain why the pivot rows and columns always give an invertible submatrix.,vector spaces
"find the ranks of $ab$ and $am$ for:
    \begin{align*}
        a &= \begin{bmatrix} 1 & 2 \\ 2 & 4 \end{bmatrix},
        &b &= \begin{bmatrix} 2 & 1 & 4 \\ 3 & 1.5 & 6 \end{bmatrix},
        &m &= \begin{bmatrix} 1 & b \\ c & bc \end{bmatrix}.
    \end{align*}",vector spaces
prove that $\text{rank}(ab) \leq \text{rank}(b)$.,vector spaces
suppose $a$ and $b$ are $n \times n$ matrices and $ab = i$. prove that $a$ is invertible.,vector spaces
"if $a$ is $2 \times 3$ and $c$ is $3 \times 2$, show that $ca \neq i$. give an example where $ac = i$.",vector spaces
suppose $a$ and $b$ have the same reduced row echelon form $r$. explain how $a$ can be transformed into $b$.,vector spaces
"find the complete solution to:
    \begin{align*}
        x + 3y + 3z &= 1 \\
        2x + 6y + 9z &= 5 \\
        -x - 3y + 3z &= 5.
    \end{align*}",vector spaces
"for what conditions on $b_1, b_2, b_3$ is the following system solvable?
    \begin{align*}
        x + 2y - 2z &= b_1 \\
        2x + 5y - 4z &= b_2 \\
        4x + 9y - 8z &= b_3.
    \end{align*}",vector spaces
